budget_year,ministry,department_or_org,strength_actual_1mar,strength_actual_year,strength_est_re_1mar,strength_est_re_year,strength_est_be_1mar,strength_est_be_year,pay_actuals_cr,allowances_actuals_cr,travel_actuals_cr,pay_re_cr,allowances_re_cr,travel_re_cr,pay_be_cr,allowances_be_cr,travel_be_cr
2015-16,Ministry of Finance,Indian Audit and Accounts Department,48098,2014,48098,2015,51900,2016,1136.67,1399.67,130.21,1462.29,1433.68,134.68,1540.15,1658.14,146.47
2015-16,Ministry of Finance,Department of Disinvestment,51,2014,55,2015,55,2016,1.80,1.68,1.04,1.91,1.82,3.40,2.30,2.20,3.40
2015-16,Ministry of Food Processing Industries,Ministry of Food Processing Industries,167,2014,165,2015,171,2016,4.84,6.06,1.65,5.10,6.78,1.95,5.30,8.35,2.27
2015-16,Ministry of Health and Family Welfare,Department of Health and Family Welfare,27717,2014,32596,2015,32674,2016,677.47,828.03,14.72,794.10,970.56,23.85,882.40,1078.49,25.94
2015-16,Ministry of Health and Family Welfare,Department of Health Research,14,2014,105,2015,105,2016,0.00,0.00,0.00,0.01,0.01,0.07,0.58,0.72,0.19
2015-16,Ministry of Health and Family Welfare,Department of AIDS Control,38,2014,68,2015,68,2016,1.69,1.12,0.14,3.00,2.00,0.80,3.00,3.00,0.80
2015-16,Ministry of Heavy Industries and Public Enterprises,Department of Heavy Industry,193,2014,288,2015,288,2016,5.70,6.96,0.92,6.14,7.49,1.05,6.34,8.41,1.05
2015-16,Ministry of Heavy Industries and Public Enterprises,Department of Public Enterprises,76,2014,77,2015,123,2016,3.15,2.32,0.67,3.25,2.76,0.35,3.36,3.29,0.48
2015-16,Ministry of Home Affairs,Ministry of Home Affairs,7452,2014,10281,2015,9816,2016,171.78,209.95,16.15,194.39,237.59,19.42,202.36,247.32,25.46
2015-16,Ministry of Home Affairs,Cabinet,1010,2014,1177,2015,1177,2016,29.38,22.36,7.23,31.54,24.62,8.33,32.91,29.26,9.71
2015-16,Ministry of Home Affairs,Police,1095840,2014,1148485,2015,1192130,2016,14680.81,17943.20,897.70,16973.61,20745.52,1078.77,18250.09,22305.66,1243.02
2015-16,Ministry of Home Affairs,Other Expenditure of the Ministry of Home Affairs,9329,2014,13999,2015,13999,2016,143.29,175.13,12.00,170.25,208.08,7.98,184.05,224.95,12.70
2015-16,Ministry of Housing and Urban Poverty Alleviation,Ministry of Housing and Urban Poverty Alleviation,156,2014,155,2015,155,2016,4.32,3.85,0.60,4.72,4.92,1.09,4.25,5.14,1.11
2015-16,Ministry of Human Resource Development,Department of School Education and Literacy,269,2014,319,2015,319,2016,699.25,319.03,57.00,856.36,776.84,150.00,864.88,854.52,150.00
2015-16,Ministry of Human Resource Development,Department of Higher Education,865,2014,1096,2015,1085,2016,33.49,32.18,2.70,49.44,47.87,5.11,53.40,51.71,5.63
2015-16,Ministry of Information and Broadcasting,Ministry of Information and Broadcasting,4372,2014,6507,2015,6507,2016,115.27,90.51,7.20,122.75,107.82,9.08,127.69,119.02,9.90
2015-16,Ministry of Labour and Employment,Ministry of Labour and Employment,6282,2014,8452,2015,8010,2016,192.60,157.59,12.98,187.37,202.98,19.34,191.27,233.77,28.00
2015-16,Ministry of Law and Justice,Election Commission,361,2014,618,2015,618,2016,8.23,12.14,2.15,11.56,12.94,2.49,11.89,15.02,2.19
2015-16,Ministry of Law and Justice,Law and Justice,1873,2014,2006,2015,2157,2016,47.73,51.41,1.78,50.97,56.24,3.75,52.28,62.61,2.30
2015-16,Ministry of Law and Justice,Supreme Court of India,2252,2014,2354,2015,2470,2016,44.32,49.20,6.15,48.71,59.31,8.50,50.18,65.24,9.35
2015-16,"Ministry of Micro, Small and Medium Enterprises","Ministry of Micro, Small and Medium Enterprises",1880,2014,2647,2015,2647,2016,44.23,58.51,2.26,46.89,64.80,2.61,53.11,67.89,2.68
2015-16,Ministry of Mines,Ministry of Mines,9045,2014,14091,2015,14092,2016,209.60,292.94,27.76,228.34,313.80,33.08,237.38,330.03,32.32
2015-16,Ministry of Minority Affairs,Ministry of Minority Affairs,207,2014,250,2015,277,2016,5.20,5.46,0.97,5.45,6.55,0.91,6.03,7.97,1.27
2015-16,Ministry of New and Renewable Energy,Ministry of New and Renewable Energy,227,2014,342,2015,342,2016,10.12,7.33,2.36,12.27,8.88,2.90,10.05,7.28,0.67
2015-16,Ministry of Overseas Indian Affairs,Ministry of Overseas Indian Affairs,187,2014,187,2015,187,2016,6.98,0.27,1.75,9.50,0.29,1.69,8.48,0.43,2.15
2015-16,Ministry of Panchayati Raj,Ministry of Panchayati Raj,115,2014,115,2015,115,2016,5.30,0.67,0.35,6.25,0.90,0.65,8.25,1.40,1.10
2015-16,Ministry of Parliamentary Affairs,Ministry of Parliamentary Affairs,114,2014,146,2015,146,2016,3.55,4.36,0.92,3.97,5.01,2.28,4.13,5.48,2.70
2015-16,"Ministry of Personnel, Public Grievances and Pensions","Ministry of Personnel, Public Grievances and Pensions",8668,2014,10341,2015,10344,2016,218.45,263.26,24.81,229.87,307.98,21.02,250.23,334.62,21.98
2015-16,Ministry of Petroleum and Natural Gas,Ministry of Petroleum and Natural Gas,260,2014,285,2015,304,2016,7.62,9.14,1.07,8.46,10.98,1.60,9.30,13.05,1.65
2015-16,Ministry of Planning,Ministry of Planning,1275,2014,1895,2015,1895,2016,51.82,34.55,10.97,60.53,40.35,13.65,76.65,51.10,29.33
2015-16,Ministry of Power,Ministry of Power,1042,2014,2004,2015,2004,2016,33.02,47.18,4.94,34.34,51.47,4.20,36.13,65.81,8.76
2015-16,"The President, Parliament, Union Public Service Commission and the Secretariat of Vice President",President’s Secretariat,267,2014,282,2015,282,2016,10.84,1.65,0.07,11.71,1.75,0.02,11.92,1.80,0.03
2015-16,"The President, Parliament, Union Public Service Commission and the Secretariat of Vice President",Lok Sabha Secretariat,2385,2014,2981,2015,2981,2016,0.07,0.10,0.00,0.07,0.11,0.00,0.07,0.12,0.00
2015-16,"The President, Parliament, Union Public Service Commission and the Secretariat of Vice President",Rajya Sabha Secretariat,1378,2014,1597,2015,1597,2016,37.57,55.10,2.85,39.33,62.67,5.20,41.15,69.25,4.48
2015-16,"The President, Parliament, Union Public Service Commission and the Secretariat of Vice President",Union Public Service Commission,1400,2014,1998,2015,1998,2016,31.00,43.83,1.78,33.60,49.40,1.50,34.25,56.75,0.55
2015-16,"The President, Parliament, Union Public Service Commission and the Secretariat of Vice President",Secretariat of the Vice-President,60,2014,60,2015,60,2016,0.91,1.15,0.12,0.95,1.29,0.02,1.11,1.28,0.06
2015-16,Ministry of Road Transport and Highways,Ministry of Road Transport and Highways,1070,2014,1286,2015,1286,2016,189.73,175.13,5.16,181.67,222.04,6.89,27.54,38.03,3.09
2015-16,Ministry of Rural Development,Department of Rural Development,428,2014,585,2015,588,2016,15.10,11.46,2.02,16.63,13.12,3.03,17.38,14.29,2.74
2015-16,Ministry of Rural Development,Department of Land Resources,82,2014,131,2015,131,2016,6.72,1.33,0.16,7.38,1.36,0.21,7.90,1.59,0.24
2015-16,Ministry of Science and Technology,Department of Science and Technology,7223,2014,7360,2015,7220,2016,137.64,170.37,13.83,140.17,187.36,15.23,159.61,191.53,20.11
2015-16,Ministry of Science and Technology,Deptt. of Scientific and Industrial Research,88,2014,109,2015,124,2016,3.27,3.60,0.22,3.69,4.33,0.40,3.76,4.54,0.50
2015-16,Ministry of Science and Technology,Department of Biotechnology,181,2014,255,2015,255,2016,7.73,6.32,2.03,8.41,6.88,2.39,9.00,7.37,3.00
2015-16,Ministry of Shipping,Ministry of Shipping,1993,2014,2595,2015,2623,2016,61.01,50.48,7.27,70.88,59.92,8.64,76.93,69.16,9.95
2015-16,Ministry of Skill Development and Entrepreneurship,Ministry of Skill Development and Entrepreneurship,0,2014,83,2015,90,2016,0.00,0.00,0.00,0.00,0.00,0.00,2.30,3.17,0.53
2015-16,Ministry of Social Justice and Empowerment,Department of Disability Affairs,0,2014,141,2015,141,2016,0.00,0.00,0.00,2.71,3.53,1.00,3.98,5.52,1.52
2015-16,Ministry of Social Justice and Empowerment,Deptt. of Social Justice and Empowerment,611,2014,709,2015,731,2016,15.13,17.66,2.36,14.42,17.86,3.00,16.10,19.54,3.65
2015-16,Department of Space,Department of Space,14915,2014,18618,2015,18838,2016,475.41,694.28,43.96,492.97,920.29,55.00,527.48,924.78,64.27
2015-16,Ministry of Statistics and Programme Implementation,Ministry of Statistics and Programme Implementation,4563,2014,6314,2015,6314,2016,119.13,145.60,16.95,121.64,148.67,14.02,132.59,162.06,18.03
2015-16,Ministry of Steel,Ministry of Steel,232,2014,278,2015,277,2016,6.40,8.60,1.12,6.68,8.61,1.13,7.38,8.98,1.38
