can_extract_be_re,can_extract_codes,can_extract_scheme_info,code_family,document_family,document_source,document_type,fy,page_end,page_start,parser_hint,state,target_codes,text,unit,window_parser_strategy,window_unit
True,True,True,2205,budget_book,data/state_budgets/Rajasthan/2025-26/State Budget/Volume 2c _ Revenue Expenditure-Social Services.pdf,budget_statement_revenue_social_services,2025-26,96,95,Detailed revenue-expenditure spread covering the 2205 target family and nearby sub-major totals.,Rajasthan,"[""2205-00-105""]","                                                             2205-क ए स क त
                                                               आट ए ड क च
                                                                   तत ख
                                                                                                                                                   सह

    ख                            तत                   सशो ित अ                                 ख शष                           आ -   क अ
2023-2024                आ -   क अ                      2024-2025                                                               2025-2026
                           2024-2025
     ि     क                        ि     क                 ि     क                                                            ि      क            ोग
           सह त                           सह त                    सह त                                                                सह त
      ..            ..               1           ..          ..          .. 93- ज गत    स त ो क सज                               1           ..            1
                                                                              हत सह त थ अ द
 2,41,77            ..       1,82,51             ..     1,27,23          ..                                 ोग 03           1,15,01          ..     1,15,01

                                                                               04 -                  त

   2,34             ..             3,00          ..       3,00           .. 05-क                                              4,05           ..          4,05

      ..            ..               1           ..          1           .. 10- क श                                              1           ..            1

      ..            ..              20           ..         20           .. 11-                     च       औ       स           20           ..           20


      ..            ..             1,00          ..       1,00           .. 29-    श ण             णए स                       1,00           ..          1,00

     50             ..              50           ..         50           .. 31-     तक         ए            क                   50           ..           50


      ..            ..              80           ..         40           .. 57-     िग              श स                       1,00           ..          1,00


      ..            ..              50           ..         50           .. 62-क      ट इजश ए त स                   ि         2,00           ..          2,00
                                                                              सच
   2,84             ..             6,01          ..       5,61           ..                                 ोग 04             8,76           ..          8,76

                                                                               05 -अ          ए      स शोि स थ

      ..            ..               1           ..          ..          .. 01-स त                                               1           ..            1

      ..            ..               1           ..          ..          .. 03-                                                  1           ..            1

     16             ..              50           ..          ..          .. 11-                     च       औ       स           50           ..           50


      ..            ..              50           ..          ..          .. 14-स क        /आत       /उ ह                         1           ..            1
                                                                              आद
      ..            ..             2,00          ..          ..          .. 18- श      औ सजस                    /                1           ..            1
                                                                              औज    ए स
      ..            ..             2,00          ..       2,00           .. 21-अ          णए            त       ट   स            1           ..            1

     56             ..             5,00          ..          ..          .. 29-    श ण             णए स                       5,00           ..          5,00

     50             ..              50           ..         40           .. 31-     तक         ए            क                   50           ..           50


      ..            ..              30           ..         27           .. 32- ड         ि                                      ..          ..            ..

      ..            ..               1           ..          ..          .. 41-स      द                                          1           ..            1

      ..            ..               1           ..          ..          .. 57-     िग              श स                          1           ..            1


      ..            ..               1           ..          ..          .. 59-     िग              श ख द                        1           ..            1

     98             ..             2,50          ..       1,00           .. 62-क      ट इजश ए त स                   ि         2,50           ..          2,50
                                                                              सच
   2,20             ..         13,05             ..       3,40           ..                                 ोग 05       द     8,58           ..          8,58

      ..            ..              30           ..         27           ..                                                      ..          ..            ..

                                                                               10 -क थक क

      ..            ..         10,00             ..      10,00           .. 12-सह         तथअ द         ग स त                12,00           ..         12,00

  91,40             ..       1,10,00             ..      78,92           .. 92-सह         तथअ द         स त                  73,00           ..         73,00

  91,40             ..       1,20,00             ..      88,92           ..                                 ोग 10            85,00           ..         85,00

                                                                               11 -ज ह क            क


 https://ifms.rajasthan.gov.in
https://finance.rajasthan.gov.in                                                   (91)                                                 श ष 2205          श
                                                             2205-क ए स क त
                                                               आट ए ड क च
                                                                   तत ख
                                                                                                                                                   सह

    ख                            तत                   सशो ित अ                                  ख शष                           आ -   क अ
2023-2024                आ -   क अ                      2024-2025                                                                2025-2026
                           2024-2025
     ि     क                        ि     क                 ि     क                                                            ि      क            ोग
           सह त                           सह त                    सह त                                                                सह त
 6,00,00            ..       7,00,00             ..     6,50,00          .. 12-सह          तथअ द       ग स त                7,00,00          ..     7,00,00

 2,02,12            ..       2,16,00             ..     1,90,00          .. 92-सह          तथअ द       स त                  2,05,00          ..     2,05,00

      ..            ..         25,00             ..      10,00           .. 93- ज गत    स त ो क सज                           40,00           ..         40,00
                                                                              हत सह त थ अ द
 8,02,12            ..       9,41,00             ..     8,50,00          ..                                ोग 11            9,45,00          ..     9,45,00

                                                                               12 -    शस स थ    तथ
                                                                                  छक अ िक ण को सह त
 9,47,50            ..       1,65,00             ..     1,65,00          .. 12-सह          तथअ द       ग स त                1,65,00          ..     1,65,00

                                                                               13 -             च

  50,00             ..         45,00             ..      45,00           .. 12-सह          तथअ द       ग स त                 50,00           ..         50,00

 1,00,00            ..       1,10,00             ..     1,03,18          .. 92-सह          तथअ द       स त                  1,04,76          ..     1,04,76

      ..            ..         25,00             ..      25,00           .. 93- ज गत    स त ो क सज                          2,00,00          ..     2,00,00
                                                                              हत सह त थ अ द
 1,50,00            ..       1,80,00             ..     1,73,18          ..                                ोग 13            3,54,76          ..     3,54,76

                                                                               16 - ज थ ि ोह स                     णए
                                                                               ो त िक ण ज
  86,53             ..       2,15,00             ..     1,80,00          .. 12-सह          तथअ द       ग स त                1,98,70          ..     1,98,70

  47,76             ..       1,71,70             ..     1,51,57          .. 92-सह          तथअ द       स त                  1,58,49          ..     1,58,49

      ..            ..               ..          ..     2,75,89          .. 93- ज गत    स त ो क सज                          6,46,94          ..     6,46,94
                                                                              हत सह त थ अ द
 1,34,29            ..       3,86,70             ..     6,07,46          ..                                ोग 16           10,04,13          ..    10,04,13

                                                                               20 -क                क आ डस

      ..            ..               1           ..          1           .. 12-सह          तथअ द       ग स त                     1           ..            1

                                                                               21 -         तक     क       क       ए
                                                                                                 ोज
      ..            ..               1           ..          1           .. 12-सह          तथअ द       ग स त                     1           ..            1

                                                                               25 - ज थ                                त
                                                                               जोि
                                                                               01 थ                 - त

 1,95,17            ..       2,35,00             ..     2,05,00          .. 01-स त                                          2,25,00          ..     2,25,00

     88             ..             1,50          ..       1,00           .. 03-                                               1,00           ..          1,00

      ..            ..               1           ..          ..          .. 04- च क स                                            1           ..            1

   2,01             ..             2,50          ..       2,50           .. 05-क                                              2,50           ..          2,50

   1,69             ..             1,86          ..       1,86           .. 09- क            टऔ क /                ट          1,96           ..          1,96

   2,05             ..             3,00          ..       3,00           .. 19-        त ि      ए ज                           3,00           ..          3,00

     50             ..              50           ..         50           .. 21-अ           णए          त       ट       स        50           ..           50

   2,92             ..             3,60          ..       3,60           .. 36-    ह       क क                                3,60           ..          3,60

     20             ..              21           ..         25           .. 37-    द       तथ अ     स िए                        25           ..           25

   5,92             ..             6,10          ..       8,00           .. 41-स       द                                     10,00           ..         10,00




 https://ifms.rajasthan.gov.in
https://finance.rajasthan.gov.in                                                   (92)                                                 श ष 2205          श
",lakh,lmmha_code_window,lakh
True,True,True,4202,budget_book,data/state_budgets/Rajasthan/2025-26/State Budget/Volume 3a _ Capital Expenditure.pdf,budget_statement_capital_expenditure,2025-26,32,27,Early 4202 section with the stable sub-major 04 total anchor used for education capital outlay.,Rajasthan,"[""4202-04-105""]","           52                  द मत                      2,01,58               ''              2,01,58

                                 भृत                       ''                  ''                ''

           55                  द मत                      1,00,00               ''              1,00,00

                                 भृत                       ''                  ''                ''

           56                  द मत                      1,00,00               ''              1,00,00

                                 भृत                       ''                  ''                ''

           58                  द मत                      4,39,33               ''              4,39,33

                                 भृत                       ''                  ''                ''

           60                  द मत                             1              ''                     1

                                 भृत                       ''                  ''                ''

           62                  द मत                    11,57,46                ''            11,57,46

                                 भृत                       ''                  ''                ''

           63                  द मत                      3,95,00               ''              3,95,00

                                 भृत                       ''                  ''                ''

          योग                  द मत                  10,76,28,81               ''          10,76,28,81

                                 भृत                       ''                  ''                ''


       क रक ट ण -
इस म य श ष म श स क भव                   के लोक   म ण क य ( ँज गत)संबंि        य क लेख ंक    कय ज त है
वष 2024-2025 के रव तत आय- यक     म  92382.31 ल ख      ये की तल म संशो ित म    म 63028.85 ल ख ये क वि
  त वत कय गय है जो क 29353.46 ल ख    ये कम है यह कम म यत वृहद् म ण क य,आि कीकरण, सदृढ़ करण, व करण एवं उ य
  य आ द मद ( ज मे ये 10.00 ल ख य   िक की कम ई है ) म कम के क रण रल त हो रह है
इस क र वष 2024-2025 के संशो ित   म 63028.85 ल ख     ये की तल                          म आग म व य वष 2025-2026 म 107628.81 ल ख     ये क
  वि     त वत कय गय है जो क 44599.96 ल ख    ये   िक है यह वृ                          म यत लघ म ण क य,वृहद् म ण क य,आि कीकरण,
सदृढ़ करण, व करण एवं उ य      य आ द मद ( ज मे ये 10.00 ल ख य                            िक की वृ ई है ) म वृ के क रण रल त हो रह है
के   य सह यत के       ंतगत     व ित र श भ रत सरक र से               संकेत   र आि रत है
2




      https://ifms.rajasthan.gov.in
     https://finance.rajasthan.gov.in                                               (23)                           म य श ष 4059   (सम )
                                               4070-              स     से             ज गत
                                                ै ट         ट े                ड        े ट स सेज
                                                                      स
                                                                                                                                           े सह

    ेखे                                 तत          स ो ित                                ेख                           -
2023-2024                  -                          2024-2025                                                        2025-2026
                           2024-2025
     ि      े                      ि     े                 ि      े                                             ि        े                 ोग
           सह त                         सह त                     सह त                                                   सह त
13,45,10           ..       26,50,00           ..      2,92,31            ..       ण                        24,50,00           ..          24,50,00

      ..           ..              ..          ..           ..            ..                                      1            ..                 1

13,45,10           ..       26,50,00           ..      2,92,31            ..              -    -4070 - ोग   24,50,01           ..          24,50,01

13,45,10           ..       26,50,00           ..      2,92,31            ..                      ृह   ोग   24,50,01           ..          24,50,01




 https://ifms.rajasthan.gov.in
https://finance.rajasthan.gov.in                                                   (24)                                             4070
                                               4070-             स   से                  ज गत
                                                ै ट       ट े             ड               े ट स सेज
                                                                     तृत ेख
                                                                                                                                                         े सह

    ेखे                                 तत          स ो ित                                        ेख                                     -
2023-2024                    -                        2024-2025                                                                          2025-2026
                             2024-2025
     ि      े                      ि     े                 ि      े                                                               ि        े              ोग
           सह त                         सह त                     सह त                                                                     सह त
                                                                                 गस       - 64
                                                                               003-        ण
                                                                                01 -ह                       ज             ो
                                                                                  स स                  ज
                                                                                   0          ण

13,45,10            ..       26,50,00          ..      2,92,31            .. 17- ृह           ण                               24,50,00           ..       24,50,00

13,45,10            ..       26,50,00          ..      2,92,31            ..                      घ         - 003        ोग   24,50,00           ..       24,50,00

                                                                                 गस       - 17
                                                                               800-
                                                                                01 - ग                               े

                                                                                01 हे         ोट /                   स    ि

      ..            ..             ..          ..           ..            .. 5 -         ग                   ख                      1            ..             1

      ..            ..             ..          ..           ..            ..                      घ         - 800        ोग         1            ..             1

13,45,10            ..       26,50,00          ..      2,92,31            ..                      -        -4070 - ोग         24,50,01           ..       24,50,01

13,45,10            ..       26,50,00          ..      2,92,31            ..                                    ृह       ोग   24,50,01           ..       24,50,01




 https://ifms.rajasthan.gov.in
https://finance.rajasthan.gov.in                                                       (25)                                                       4070
                                                                                                                          तृत    ेख
                                                                                                                                                                                          े सह


                   गस       - 17                   गस       - 64                              ोग


                   त               ृत              त               ृत                त             ृत

                        1               ''       24,50,00               ''         24,50,01             ''


    स              ''                   ''          ''                  ''            ''                ''


स                       1               ''       24,50,00               ''         24,50,01             ''




                        ट ण -
    स          ह                             ो         स स                          ग                                 े          से स           ित    ेख       त       ज त है
        2024-2025 े     तत    -                                                   2650.00          ख              े         त           स ो ित                     2 2.31 ख      े          ि           त    त
         ग है जो    2357.6   ख                              े                है    ह               त         ृह              ण                        ज    े         े 10.00 ख       ि                      है
           े   ण       त हो ह है
    स              2024-2025 े स ो ित       2 2.31     ख   े                                                          त                 ग              2025-2026          2450.01        ख      े
     ि         त    त     ग है जो    2157.70 ख       े   ि है                                                          ह ृ                  त    ृह   ण                     ज े          े 10.00        ख
    ि          ृ      है    ृ   े  ण       त हो ह है
2




         https://ifms.rajasthan.gov.in
        https://finance.rajasthan.gov.in                                                                                         (26)                                                    4070       स
                                                 4202- , ख कद, क                 तथ सं क त ंज गत
                                                 (क ट आउट ऑ ए                    क , ोटस, आट ए ड क च )
                                                                                स ं
                                                                                                                                                                  (      सह           )

      ख                                    तत                सं ो ित                                       ख             ष                   आ -   क
  2023-2024                 आ -   क                             2024-2025                                                                      2025-2026
                              2024-2025
        ि     क                      ि     क                         ि     क                                                                 ि      क                  ोग
              सह त                         सह त                            सह त                                                                     सह त
                                                                                         01-स
  38,33,22      57,49,85      2,20,34,11        3,30,51,26    2,50,56,01    3,69,48,50            क                                    3,01,11,01    3,46,67,01        6,47,78,02

 3,47,06,17    2,93,14,32     3,94,22,76        2,39,40,01    3,04,22,05    2,39,40,01             क                                   4,58,17,54    2,63,33,01        7,21,50,55

 5,67,07,83            ..     5,53,19,31         42,13,91     4,60,95,14     37,80,00                      तथ उ                        4,55,40,03     63,00,00         5,18,40,03

    1,53,01            ..        1,50,00                ..        30,00             ..      ष      कस                                      62,50             ..             62,50

  88,40,80     1,05,65,37     1,15,98,61        1,39,55,52    1,20,80,22    1,48,49,01      स चत ज त            क        ए             1,14,44,08    1,63,88,02        2,78,32,10

                                                                                         संघटक ोज
  80,16,72      68,81,62      1,19,41,82        1,47,33,10    1,15,83,98    1,55,35,74 ज      जत           उ        ोज                  96,64,06     1,25,24,02        2,21,88,08

  28,00,00             ..             1                 ..            ..            ..                                                         1             1                   2

11,50,57,75    5,25,11,16    14,04,66,62        8,98,93,80   12,52,67,40    9,50,53,26                 उ        -        ष -01 - ोग   14,26,39,23    9,62,12,07       23,88,51,30

                                                                                         02-तक क
  25,22,80      18,53,60       42,43,94           5,38,99      18,98,91       5,38,99              (       टक क)                        40,10,02             3          40,10,05

  12,80,00             ..      10,10,00                 ..            ..            .. इं ज        र ं ग / तक क क ज तथ                  10,15,00             ..         10,15,00

                                                                                         सं थ
    3,21,48      2,78,00         7,95,86            46,74        2,95,84        46,74       स चत ज त            क        ए                     6             2                   8

                                                                                         संघटक ोज
    1,49,98      1,06,40         3,75,02             2,70        3,90,01         2,70 ज       जत           उ        ोज                     30,01             2              30,03

  42,74,26      22,38,00       64,24,82           5,88,43      25,84,76       5,88,43                  उ        -        ष -02 - ोग     50,55,09             7          50,55,16

                                                                                         03-ख कद तथ                  स
 1,82,12,80            ..      85,58,48                 ..     57,07,93             .. ख      कद ट ड                                   1,01,42,05            ..        1,01,42,05

    3,80,00            ..      22,91,62                 ..     14,63,00             ..      स चत ज त            क        ए              24,20,62             ..         24,20,62

                                                                                         संघटक ोज
    7,33,45            ..      19,45,02                 ..     12,64,00             .. ज      जत           उ        ोज                  20,42,10             ..         20,42,10

 1,93,26,25            ..     1,27,95,12                ..     84,34,93             ..                 उ        -        ष -03 - ोग    1,46,04,77            ..        1,46,04,77

                                                                                         04-क      तथ सं क त
     11,52             ..         20,00                 ..        20,01             ..            खग                                       19,01             ..             19,01

    6,00,00            ..        4,05,70                ..       4,75,69            .. स      ज क          तक                             2,49,91            ..           2,49,91

    1,83,96            ..      33,00,02                 ..        50,02             .. सं     ह                                            50,02             ..             50,02

         ..            ..      10,00,01                 ..            1             ..      स चत ज त            क        ए                     2             ..                  2

                                                                                         संघटक ोज
         ..            ..        7,50,01                ..            1             .. ज      जत           उ        ोज                         2             ..                  2

     45,00             ..         13,80                 ..        13,79             ..                                                      2,03             ..                2,03

    8,40,48            ..      54,89,54                 ..       5,59,53            ..                 उ        -        ष -04 - ोग       3,21,01            ..           3,21,01

13,94,98,74    5,47,49,16    16,51,76,10        9,04,82,23   13,68,46,62    9,56,41,69                      -       ष-4202 - ोग       16,26,20,10    9,62,12,14       25,88,32,24

13,94,98,74    5,47,49,16    16,51,76,10        9,04,82,23   13,68,46,62    9,56,41,69                                       हद ोग    16,26,20,10    9,62,12,14       25,88,32,24




  https://ifms.rajasthan.gov.in
 https://finance.rajasthan.gov.in                                                                 (27)                                                     ष : 4202        (          )
                                             4202- , ख कद, क                तथ सं क त ंज गत
                                             (क ट आउट ऑ ए                   क , ोटस, आट ए ड क च )
                                                                            तत ख
                                                                                                                                                               (   सह        )

    ख                                   तत                सं ो ित                                       ख          ष                     आ -   क
2023-2024                आ -   क                             2024-2025                                                                     2025-2026
                           2024-2025
     ि     क                       ि    क                         ि     क                                                                 ि      क                  ोग
           सह त                         सह त                            सह त                                                                     सह त
                                                                                        ग सं    - 20
                                                                                      01-स
                                                                                      201-          क

                                                                                       (01)-

                                                                                        90          णक

      ..            ..             1                 ..      4,25,00             .. 17- हद           णक                              70,00,00             ..        70,00,00

                                                                                       (13)-स

                                                                                       01 स                      तगत           ण
                                                                                       क
21,12,50      31,68,76       40,76,00         61,15,00      40,76,00      61,15,00 17- हद            णक                              40,76,00      61,15,00        1,01,91,00

                                                                                       02 ज                  ए ं           ण
                                                                                       सं थ                 णक
   41,51         62,27        9,70,91         14,56,01       9,54,84      14,33,25 17- हद            णक                                 70,00       1,05,00          1,75,00

                                                                                        03 ट                ोज          ंज गत

16,79,21      25,18,82     1,06,31,17        1,59,46,25    1,06,31,17    1,59,46,25 17- हद           णक                              90,99,00     1,36,48,00       2,27,47,00

                                                                                        04 ज थ                         क
                                                                                           संि ए ं               ण     षद
                                                                                         ंज गत
      ..            ..             ..                ..            ..            .. 17- हद           णक                                     1             1                 2

38,33,22      57,49,85     1,56,78,08        2,35,17,26    1,56,62,01    2,34,94,50                                    ोग (13)      1,32,45,01    1,98,68,01       3,31,13,02

                                                                                       (14)-        ण सं थ         क   थ

                                                                                        01              कए ंउ          थ क
                                                                                                           णक
      ..            ..             1                 ..            ..            .. 17- हद           णक                                     ..            ..                ..

      ..            ..             1                 ..            ..            .. 18-             औ सजस                  /                ..            ..                ..
                                                                                      औज       ए ं सं ं
      ..            ..             2                 ..            ..            ..                                    ोग 01                ..            ..                ..

      ..            ..             2                 ..            ..            ..                                    ोग (14)              ..            ..                ..

                                                                                       (15)- . ए .               ोज

                                                                                        01 जक
                                                                                         ोज ंतगत ंज गत
      ..            ..       63,56,00         95,34,00      89,69,00     1,34,54,00 17- हद           णक                              98,66,00     1,47,99,00       2,46,65,00

38,33,22      57,49,85     2,20,34,11        3,30,51,26    2,50,56,01    3,69,48,50                     घ        ष - 201       ोग   3,01,11,01    3,46,67,01       6,47,78,02

                                                                                        ग सं    - 21
                                                                                      202-        क
                                                                                       (01)-

                                                                                        90          णक

 3,96,34            ..         95,96                 ..      3,00,00             .. 17- हद           णक                             2,16,00,00            ..       2,16,00,00

      ..            ..        5,44,77                ..      5,08,77             .. 18-             औ सजस                  /            40,00             ..             40,00
                                                                                      औज       ए ं सं ं
 3,96,34            ..        6,40,73                ..      8,08,77             ..                                    ोग 90        2,16,40,00            ..       2,16,40,00


 https://ifms.rajasthan.gov.in
https://finance.rajasthan.gov.in                                                             (28)                                                      ष : 4202      (           )
",lakh,lmmha_code_window,lakh
True,True,False,6202,budget_book,"data/state_budgets/Rajasthan/2025-26/State Budget/Volume 3b _ Public Debt, Loan, Public Account Volume.pdf",budget_statement_public_debt_loans_public_account,2025-26,84,81,Loans-division summary and detailed 6202 pages; stable for major-head extraction.,Rajasthan,"[""6202""]","                                                                       ज तथ ध र
                                                                    (ल स ड डव सज)
                  लख 2023-2024                                  प रव तत       य- य     नम न -2024-2025               सश धधत नम न -2024-2025


                                          धवतरण                                                        धवतरण                              धवतरण

          रधभ र म          ध य           र य धनधध               रधभ              ध य               र य धनधध             ध य              र य धनधध
                                                                र म
   (डी)         8,19,34      5,00,50         23,60,00    (डी)     26,78,84              4,00,00           33,60,00            10,00,00        30,00,01

   (डी)         1,35,25       85,60                 ..   (डी)        49,65                   ..                 ..                  ..               ..

   (डी)       37,69,22              ..              ..   (डी)     37,69,22                   ..                 ..                  ..               1

   (डी)         4,45,17          6,30               ..   (डी)       4,38,87                  ..                 ..                  ..               ..

   (डी)      9,65,81,32     72,86,84                ..   (डी)    8,92,94,48            62,19,00                12                   2                7

   (डी)       12,05,36              ..          30,00    (डी)     12,35,36                   ..                 2             25,00,00       1,00,00,00


   (डी)      5,57,60,28             ..              ..   (डी)    5,57,60,28                  ..                 ..                  ..               1

   (डी)          40,02              ..              ..   (डी)        40,02                   ..                 ..                  ..               ..

   (डी)         6,37,69             ..              ..   (डी)       6,37,69                  ..                 ..                  ..               ..

   (डी)      5,35,34,78             6       1,08,44,00   (डी)    6,43,78,72                  ..           58,44,01                  ..       1,08,44,00

   (डी)           7,39             22               ..   (डी)         7,17                   ..                 ..                  ..               ..

   (डी)           7,71              ..              ..   (डी)         7,71                   ..                 ..                  ..               ..

   (डी)         3,09,89             ..              ..   (डी)       3,09,89                  ..                 ..                  ..               ..

   (डी)             33              ..              ..   (डी)           33                   ..                 ..                  ..               ..

   (डी)      3,12,99,30     22,47,28          5,97,00    (डी)    2,96,49,02            12,00,00           65,67,02            65,69,42        65,69,42

   (डी)      7,20,99,64     18,51,76            49,72    (डी)    7,02,97,60                  ..            1,00,07             7,05,55         7,25,00

   (डी)           5,95              ..              ..   (डी)         5,95                   ..                 ..                  ..               ..

   (डी)              ..             ..              ..                   ..                  ..                 3                   ..               ..

   (डी)          11,60              ..              ..   (डी)        11,60                   ..                 ..                  ..               ..

   (डी)     45,81,55,28   2,84,91,02                ..   (डी)   42,96,64,26          2,27,33,63                15         4,21,70,70                 6



https://ifms.rajasthan.gov.in
https://finance.rajasthan.gov.in                                                                  78
                                                                                                                                                                                               स   पय म

                                                                                                                            ज तथ ध र
                                                                                                                         (ल स ड डव सज)
                                                                                                                                     य- य    नम न -
                                                                                                                                      2025-2026
                                                                                                                                                           धवतरण

                                                                         लख        शीष                               रधभ र म        ध य              र य धनधध                 सवरण र म
                                                                                                                                                                             31-03-2026
                                   6202-धश    , खल द, ल तथ स                  धत    धल                        (डी)      46,78,85          10,00,00               2    (डी)         36,78,87

                                   6210-धच     स तथ ल              व      य   धल                              (डी)         49,65                ..               ..   (डी)            49,65

                                   6215-जल प त तथ सफ                   धल                                     (डी)      37,69,23                ..               1    (डी)         37,69,24

                                   6216- व स        धल                                                        (डी)        4,38,87               ..               ..   (डी)           4,38,87

                                   621 -श री धव स             धल                                              (डी)     8,92,94,53               2          48,21,20   (डी)        9,41,15,71

                                   6225- नसधचत ज धतय , नसधचत जनज धतय ,                   य धपछ वग तथ   पस य   (डी)      87,35,36                ..               1    (डी)         87,35,37
                                     य ण धल
                                   6235-स म धज सर             तथ         यण    धल                             (डी)     5,57,60,29               1                1    (डी)        5,57,60,29

                                   6245-      धत धवपध               रण र त         धल                         (डी)         40,02                ..               ..   (डी)            40,02

                                   6250-     य सम ज सव              धल                                        (डी)        6,37,69               ..               ..   (डी)           6,37,69

                                   6401-फसल धष- म              धल                                             (डी)     7,52,22,72               ..         58,44,01   (डी)        8,10,66,73

                                   6402-मद     व जल सर ण               धल                                     (डी)          7,17                ..               ..   (डी)             7,17

                                   6403-पश-प लन          धल                                                   (डी)          7,71                ..               ..   (डी)             7,71

                                   6404-डरी धव स         धल                                                   (डी)        3,09,89               ..               ..   (डी)           3,09,89

                                   6405-मछली प लन             धल                                              (डी)            33                ..               ..   (डी)               33

                                   640 -ख      भड रण तथ भ ड ग र               धल                              (डी)     2,96,49,02         41,60,95          8,00,03   (डी)        2,62,88,10

                                   6425-स      रत        धल                                                   (डी)     7,03,17,05          7,05,55          1,00,07   (डी)        6,97,11,57

                                   6506-भधम सध र         धल                                                   (डी)          5,95                ..               ..   (डी)             5,95

                                   6 00-म य सच            धल                                                                   ..               ..               3    (डी)                3

                                   6 05- म न        धव स            धल                                        (डी)         11,60                ..               ..   (डी)            11,60

                                   6 01-धबजली प रय जन                    धल                                   (डी)    38,74,93,62     3,57,72,34           68,00,12   (डी)       35,85,21,40



https://ifms.rajasthan.gov.in
https://finance.rajasthan.gov.in                                                                                79
                                                                      ज तथ ध र
                                                                   (ल स ड डव सज)
                  लख 2023-2024                                 प रव तत       य- य     नम न -2024-2025                 सश धधत नम न -2024-2025


                                         धवतरण                                                        धवतरण                              धवतरण

          रधभ र म          ध य          र य धनधध               रधभ              ध य               र य धनधध               ध य            र य धनधध
                                                               र म
   (डी)              ..            ..              ..                   ..                  ..                   1                 ..               ..

   (डी)         3,30,27            ..              ..   (डी)       3,30,27                  ..                   1                 ..               ..

   (डी)       14,46,51             ..          40,00    (डी)     14,86,51                   ..                40,00                ..            25,00

   (डी)       26,51,46           2,83              ..   (डी)     26,48,63                   ..                   1                 ..               ..

   (डी)         3,04,96            -4          25,00    (डी)       3,30,00                  3                 30,04                1             31,81

   (डी)      1,46,78,36            ..       58,75,00    (डी)    2,05,53,36                  ..                   2                 ..               2

   (डी)       26,76,00             ..      2,00,00,00   (डी)    2,26,76,00                  ..          2,01,00,00                 ..       1,01,00,00

   (डी)         1,00,00            ..              ..   (डी)       1,00,00                  ..                   ..                ..               ..

   (डी)           3,89             1               ..   (डी)         3,88                   2                    2                 ..               1

  (सी)          2,26,82          1,88              ..   (सी)       2,28,70                  ..                   ..                ..               ..

   (डी)          32,19             ..              ..   (डी)        32,19                   ..                   ..                ..               ..

   (डी)     79,68,22,34   4,04,74,26       3,98,20,72   (डी)   79,61,68,80          3,05,52,68          3,60,41,53         5,29,45,70       4,12,95,42




https://ifms.rajasthan.gov.in
https://finance.rajasthan.gov.in                                                                 80
                                                                                                                                                                          स   पय म

                                                                                                       ज तथ ध र
                                                                                                    (ल स ड डव सज)
                                                                                                                य- य    नम न -
                                                                                                                 2025-2026
                                                                                                                                    धवतरण

                                                                     लख            शीष          रधभ र म        ध य            र य धनधध                   सवरण र म
                                                                                                                                                        31-03-2026
                                   6 02-प धलयम        धल    ज                                             ..             ..                 1    (डी)                1

                                   6 51- म तथ लघ           ग         धल                  (डी)        3,30,27             ..                 1    (डी)           3,30,28

                                   6 60- पभ           ग     धल                           (डी)      15,11,51              ..              30,00   (डी)         15,41,51

                                   6   5-    ग   र खधनज         धल        य              (डी)      26,48,63              ..                 1    (डी)         26,48,64

                                    055-सड प रव न          धल        ज                   (डी)        3,61,80             1               49,84   (डी)           4,11,63

                                    0 5-    य प रव न सव              धल                  (डी)     2,05,53,38             ..                 2    (डी)        2,05,53,40

                                    452-पयटन     धल                                      (डी)     3,27,76,00             ..        2,00,00,01    (डी)        5,27,76,01

                                    453-धवदश     प र धनय त सवधन               धल     ज   (डी)        1,00,00             ..                 ..   (डी)           1,00,00

                                    4 5-    यसम य          थ सव               धल         (डी)          3,89              ..                 2    (डी)             3,91

                                    610-सर री मच रय                           द          (सी)        2,28,70             ..                 ..   (सी)           2,28,70

                                    615-धवधवध                                            (डी)         32,19              ..                 ..   (डी)            32,19

                                   म य शीष       यग                                      (डी)    78,45,18,52     4,16,38,88        3,84,45,43    (डी)       78,13,25,07




https://ifms.rajasthan.gov.in
https://finance.rajasthan.gov.in                                                           81
",lakh,loan_ledger_window,lakh
